team_id,team_name_short,team_name
2443,Werder Bremen,SV Werder Bremen
2444,Bayern Munich,Bayern Munich
2445,Stuttgart,VfB Stuttgart 1893
2446,Bayer Leverkusen,TSV Bayer 04 Leverkusen
2447,Borussia Dortmund,BV Borussia 09 Dortmund
2449,Schalke 04,FC Schalke 04
2450,Hamburger SV,Hamburger SV
2451,Wolfsburg,VfL Wolfsburg
2453,Freiburg,SC Freiburg
2454,Borussia M'gladbach,Borussia VfL M\u00f6nchengladbach
2455,Hannover 96,Hannover 96
2457,Hertha BSC,Hertha BSC
2460,Mainz 05,1. FSV Mainz 05
2462,Eintracht Frankfurt,Eintracht Frankfurt
2463,Köln,Köln
2481,Augsburg,FC Augsburg
2482,Hoffenheim,TSG 1899 Hoffenheim
2975,RB Leipzig,Rasen Ballsport Leipzig
